Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,3/4/2025 8:35,3/4/2025 8:50,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,4/4/2025 8:35,4/4/2025 8:50,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,5/4/2025 8:35,5/4/2025 8:50,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,6/4/2025 8:35,6/4/2025 8:50,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,7/4/2025 8:35,7/4/2025 8:50,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,8/4/2025 10:10,8/4/2025 10:55,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,9/4/2025 8:35,9/4/2025 8:50,yes
Exhibit09,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,10/4/2025 8:35,10/4/2025 8:50,yes
Exhibit10,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,11/4/2025 8:35,11/4/2025 8:50,yes
Exhibit11,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,4/28/25 8:35,4/28/25 8:50,yes
Exhibit12,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,4/29/25 10:10,4/29/25 10:55,yes
Exhibit13,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,4/30/25 8:35,4/30/25 8:50,yes
Exhibit14,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,1/5/2025 8:35,1/5/2025 8:50,yes
Exhibit15,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,2/5/2025 8:35,2/5/2025 8:50,yes
Exhibit16,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,3/5/2025 8:35,3/5/2025 8:50,yes
Exhibit17,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,4/5/2025 8:35,4/5/2025 8:50,yes
Exhibit18,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,5/5/2025 8:35,5/5/2025 8:50,yes
Exhibit19,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,6/5/2025 10:10,6/5/2025 10:55,yes
Exhibit20,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,7/5/2025 8:35,7/5/2025 8:50,yes
Exhibit21,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,8/5/2025 8:35,8/5/2025 8:50,yes
Exhibit22,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:15:00,1:00:00,9/5/2025 8:35,9/5/2025 8:50,yes
