Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Francis.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Lisieux.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/More.jpeg,0:00:10,1:00:00,4/3/2025 0:00,4/4/2025 23:59,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Romero.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Siena.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit09,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Teresa.jpeg,0:00:10,1:00:00,4/4/2025 0:00,4/4/2025 23:59,yes
Exhibit10,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Francis.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit11,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Frassati.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit12,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Lisieux.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit13,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit14,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/More.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit15,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Romero.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit16,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Siena.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
Exhibit17,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/Teresa.jpeg,0:00:10,1:00:00,4/11/2025 0:00,4/11/2025 23:59,yes
