Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/25 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/3/25 10:30,4/3/25 10:45,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/4/25 10:30,4/4/25 10:45,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/5/25 10:30,4/5/25 10:45,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/6/25 10:30,4/6/25 10:45,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/7/25 10:30,4/7/25 10:45,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,4/8/25 10:10,4/8/25 10:55,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/9/25 10:30,4/9/25 10:45,yes
Exhibit09,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/10/25 10:30,4/10/25 10:45,yes
Exhibit10,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/11/25 10:30,4/11/25 10:45,yes
Exhibit11,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/28/25 10:30,4/28/25 10:45,yes
Exhibit12,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,4/29/25 10:10,4/29/25 10:55,yes
Exhibit13,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/30/25 10:30,4/30/25 10:45,yes
Exhibit14,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/1/25 10:30,5/1/25 10:45,yes
Exhibit15,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/2/25 10:30,5/2/25 10:45,yes
Exhibit16,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/3/25 10:30,5/3/25 10:45,yes
Exhibit17,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/4/25 10:30,5/4/25 10:45,yes
Exhibit18,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/5/25 10:30,5/5/25 10:45,yes
