Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,3/4/2025 9:55,3/4/2025 10:05,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/4/2025 9:55,4/4/2025 10:05,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/4/2025 9:55,5/4/2025 10:05,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/4/2025 9:55,6/4/2025 10:05,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,7/4/2025 9:55,7/4/2025 10:05,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,8/4/2025 10:10,8/4/2025 10:55,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,9/4/2025 9:55,9/4/2025 10:05,yes
Exhibit09,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,10/4/2025 9:55,10/4/2025 10:05,yes
Exhibit10,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,11/4/2025 9:55,11/4/2025 10:05,yes
Exhibit11,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/28/25 9:55,4/28/25 10:05,yes
Exhibit12,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,4/29/25 10:10,4/29/25 10:55,yes
Exhibit13,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/30/25 9:55,4/30/25 10:05,yes
Exhibit14,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,1/5/2025 9:55,1/5/2025 10:05,yes
Exhibit15,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,2/5/2025 9:55,2/5/2025 10:05,yes
Exhibit16,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,3/5/2025 9:55,3/5/2025 10:05,yes
Exhibit17,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/5/2025 9:55,4/5/2025 10:05,yes
Exhibit18,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/5/2025 9:55,5/5/2025 10:05,yes
Exhibit19,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,6/5/2025 10:10,6/5/2025 10:55,yes
Exhibit20,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,7/5/2025 9:55,7/5/2025 10:05,yes
Exhibit21,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,8/5/2025 9:55,8/5/2025 10:05,yes
Exhibit22,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,9/5/2025 9:55,9/5/2025 10:05,yes
Exhibit23,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,10/5/2025 9:55,10/5/2025 10:05,yes
Exhibit24,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,11/5/2025 9:55,11/5/2025 10:05,yes
Exhibit25,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,12/5/2025 9:55,12/5/2025 10:05,yes
Exhibit26,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,5/13/25 10:10,5/13/25 10:55,yes
Exhibit27,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/14/25 9:55,5/14/25 10:05,yes
Exhibit28,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/15/25 9:55,5/15/25 10:05,yes
Exhibit29,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/16/25 9:55,5/16/25 10:05,yes
Exhibit30,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/17/25 9:55,5/17/25 10:05,yes
Exhibit31,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/18/25 9:55,5/18/25 10:05,yes
Exhibit32,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/19/25 9:55,5/19/25 10:05,yes
Exhibit33,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,5/20/25 10:10,5/20/25 10:55,yes
Exhibit34,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/21/25 9:55,5/21/25 10:05,yes
Exhibit35,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/22/25 9:55,5/22/25 10:05,yes
Exhibit36,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/23/25 9:55,5/23/25 10:05,yes
Exhibit37,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/24/25 9:55,5/24/25 10:05,yes
Exhibit38,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/25/25 9:55,5/25/25 10:05,yes
Exhibit39,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/26/25 9:55,5/26/25 10:05,yes
Exhibit40,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,5/27/25 10:10,5/27/25 10:55,yes
Exhibit41,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/28/25 9:55,5/28/25 10:05,yes
Exhibit42,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/29/25 9:55,5/29/25 10:05,yes
Exhibit43,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/30/25 9:55,5/30/25 10:05,yes
Exhibit44,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/31/25 9:55,5/31/25 10:05,yes
Exhibit45,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,1/6/2025 9:55,1/6/2025 10:05,yes
Exhibit46,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,2/6/2025 9:55,2/6/2025 10:05,yes
Exhibit47,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,3/6/2025 10:10,3/6/2025 10:55,yes
Exhibit48,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/6/2025 9:55,4/6/2025 10:05,yes
Exhibit49,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,5/6/2025 9:55,5/6/2025 10:05,yes
Exhibit50,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/6/2025 9:55,6/6/2025 10:05,yes
Exhibit51,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,7/6/2025 9:55,7/6/2025 10:05,yes
Exhibit52,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,8/6/2025 9:55,8/6/2025 10:05,yes
Exhibit53,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,9/6/2025 9:55,9/6/2025 10:05,yes
Exhibit54,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,10/6/2025 10:10,10/6/2025 10:55,yes
Exhibit55,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,11/6/2025 9:55,11/6/2025 10:05,yes
Exhibit56,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,12/6/2025 9:55,12/6/2025 10:05,yes
Exhibit57,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/13/25 9:55,6/13/25 10:05,yes
Exhibit58,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/14/25 9:55,6/14/25 10:05,yes
Exhibit59,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/15/25 9:55,6/15/25 10:05,yes
Exhibit60,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/16/25 9:55,6/16/25 10:05,yes
Exhibit61,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,6/17/25 10:10,6/17/25 10:55,yes
Exhibit62,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/18/25 9:55,6/18/25 10:05,yes
Exhibit63,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/19/25 9:55,6/19/25 10:05,yes
Exhibit64,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/20/25 9:55,6/20/25 10:05,yes
Exhibit65,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/21/25 9:55,6/21/25 10:05,yes
Exhibit66,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/22/25 9:55,6/22/25 10:05,yes
Exhibit67,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/23/25 9:55,6/23/25 10:05,yes
Exhibit68,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,6/24/25 10:10,6/24/25 10:55,yes
Exhibit69,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/25/25 9:55,6/25/25 10:05,yes
Exhibit70,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/26/25 9:55,6/26/25 10:05,yes
Exhibit71,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/27/25 9:55,6/27/25 10:05,yes
Exhibit72,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/28/25 9:55,6/28/25 10:05,yes
Exhibit73,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/29/25 9:55,6/29/25 10:05,yes
Exhibit74,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,6/30/25 9:55,6/30/25 10:05,yes
Exhibit75,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:45:00,1:00:00,1/7/2025 10:10,1/7/2025 10:55,yes
Exhibit76,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,2/7/2025 9:55,2/7/2025 10:05,yes
Exhibit77,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,3/7/2025 9:55,3/7/2025 10:05,yes
Exhibit78,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:15:00,1:00:00,4/7/2025 9:55,4/7/2025 10:05,yes
